,Confirmed,Suspect,Undiagnosed
,Mean (±SD),Mean (±SD),Mean (±SD)
age,22.16 (±20.08),17.15 (±18.03),13.36 (±15.93)
age_at_first_evaluation_at_center,16.19 (±19.64),13.77 (±17.52),9.84 (±15.55)
age_at_first_evaluation_at_specialty,16.72 (±19.76),14.71 (±17.92),11.2 (±15.94)
length_of_follow_up_at_center,6.19 (±6.7),3.83 (±5.53),3.87 (±5.04)
length_of_follow_up_at_specialty,5.1 (±6.23),2.51 (±4.44),2.25 (±3.79)
age_at_symptoms_onset,10.99 (±17.89),8.62 (±16.27),3.44 (±9.48)
maternal_age_at_birth,27.7 (±7.11),27.45 (±6.92),27.92 (±7.05)
paternal_age_at_birth,31.72 (±8.37),31.71 (±8.27),31.74 (±8.52)
number_of_hospitalizations,4.77 (±16.64),2.89 (±5.03),2.45 (±3.59)
age_at_death,28.77 (±27.74),36.83 (±28.94),29.42 (±34.3)
